Product_Names,Original_price,Discounted_price,Description,Ratings,Image_links,URL,Ram,brand,Color
"POCO X5 Pro 5G (Astral Black, 128 GB)","25,999","18,499",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/x/j/-original-imagmkjfhzjhfhhe.jpeg?q=70,https://www.flipkart.com/poco-x5-pro-5g-astral-black-128-gb/p/itm1f27d5ae38ed2?pid=MOBGMDKQX7HV4MAH&lid=LSTMOBGMDKQX7HV4MAHLKBGDT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_np3Eeaj2FKTcm3ISWBUR4hTc7oMzlfYj5DU20lUoksmOg%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,POCO,Black
"POCO X5 Pro 5G (Yellow, 256 GB)","28,999","19,499",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/s/8/-original-imagmkjf9wqjurgf.jpeg?q=70,https://www.flipkart.com/poco-x5-pro-5g-yellow-256-gb/p/itm3a4010e6b2c40?pid=MOBGMDKQFCHMDPRJ&lid=LSTMOBGMDKQFCHMDPRJKKMT15&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_nojKuXtADDMwMEN8SNEypF8v1UTOqhaFb2DrlvdTZ20rA%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 256 GB,POCO,Yellow
"vivo T2x 5G (Glimmer Black, 128 GB)","20,999","14,999",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,vivo,Black
"vivo T2x 5G (Marine Blue, 128 GB)","20,999","14,999",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,vivo,Blue
"vivo T2x 5G (Aurora Gold, 128 GB)","20,999","14,999",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASX1YPF2N&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=9077076c-64e5-4837-b5c9-4c6724af260a.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,vivo,Gold
"POCO X5 5G (Jaguar Black, 256 GB)","23,999","14,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/q/q/-original-imagnqpnkkzmgv7h.jpeg?q=70,https://www.flipkart.com/poco-x5-5g-jaguar-black-256-gb/p/itm72b2f2656bf5a?pid=MOBGNBFBZBKUEVM6&lid=LSTMOBGNBFBZBKUEVM6BQCHO9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_noxUCou8EqiAIcceBF417-OP-sPFCreRJTaTWmuaH7EQg%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 256 GB,POCO,Black
"POCO X5 Pro 5G (Astral Black, 256 GB)","28,999","19,499",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/x/j/-original-imagmkjfhzjhfhhe.jpeg?q=70,https://www.flipkart.com/poco-x5-pro-5g-astral-black-256-gb/p/itm6bf766212d183?pid=MOBGMDKQJ9WVEFYK&lid=LSTMOBGMDKQJ9WVEFYKZEUY55&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_nq4k0dBsOaGkJaseW0eXoaPhru7CLvSNRNmb2ehkxS_Fg%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 256 GB,POCO,Black
"POCO X5 5G (Jaguar Black, 128 GB)","20,999","13,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/q/q/-original-imagnqpnkkzmgv7h.jpeg?q=70,https://www.flipkart.com/poco-x5-5g-jaguar-black-128-gb/p/itmea3de872e8205?pid=MOBGNBFB6VKBCARX&lid=LSTMOBGNBFB6VKBCARXWGNBVK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_nrrqoHhAfjc2DBT3f0538wHuoDviTP_wbVoI5rIX-zN5Q%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 128 GB,POCO,Black
"POCO X5 Pro 5G (Horizon Blue, 256 GB)","28,999","19,499",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/v/2/-original-imagmkjfjwtzhaag.jpeg?q=70,https://www.flipkart.com/poco-x5-pro-5g-horizon-blue-256-gb/p/itm7d7b6b78895bc?pid=MOBGMDKQ2NHTBHJM&lid=LSTMOBGMDKQ2NHTBHJMQ7AMXN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&otracker=search&otracker1=search&fm=organic&iid=en_PT9Qte7zmvUtFIuYSpfru94DLeddtvE5K7ka1wii_nqWNOBCawaGaCP2nYsxc5ojQMr3kpi3Ss6_B4nKti_jiA%3D%3D&ppt=None&ppn=None&ssid=7eje43u1i80000001699282618231&qH=eb4af0bf07c16429, 256 GB,POCO,Blue
"POCO X5 5G (Supernova Green, 128 GB)","20,999","13,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70,https://www.flipkart.com/poco-x5-5g-supernova-green-128-gb/p/itmb4486c67956f6?pid=MOBGNBFBJ3FZHRPX&lid=LSTMOBGNBFBJ3FZHRPXJUPGUB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_T_3iA1QCUdwSo1C8oB6YQvOXwPgqV6-4i5_A2gWzOlKUqZ_6ArEEVekiICkpmcFd6ScW6fwQ75RbD82bdioRuQ%3D%3D&ppt=None&ppn=None&ssid=cw5ropyy8w0000001699282619004&qH=eb4af0bf07c16429, 128 GB,POCO,Green
